Date : 2026-04-02 10:28:13
Directory : c:\Users\dell\Documents\AqwaValley
Total : 139 files,  37741 codes, 822 comments, 4756 blanks, all 43319 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\app\api\reports\download                                                                                                      |          1 |        101 |          0 |         19 |        120 |
| src\app\api\reports\download\[artifactId]                                                                                         |          1 |        101 |          0 |         19 |        120 |
| src\app\sentry-example-page                                                                                                       |          1 |          2 |          1 |          0 |          3 |
| src\app\set-password                                                                                                              |          1 |          0 |         -1 |         -1 |         -2 |
| src\lib                                                                                                                           |          3 |         37 |          0 |          9 |         46 |
| src\server                                                                                                                        |         22 |      2,055 |         36 |        264 |      2,355 |
| src\server\api                                                                                                                    |          5 |        407 |         19 |         61 |        487 |
| src\server\api (Files)                                                                                                            |          1 |          2 |          0 |          0 |          2 |
| src\server\api\routers                                                                                                            |          4 |        405 |         19 |         61 |        485 |
| src\server\db                                                                                                                     |          1 |        195 |         15 |         11 |        221 |
| src\server\services                                                                                                               |         16 |      1,453 |          2 |        192 |      1,647 |
| src\server\services (Files)                                                                                                       |          1 |        105 |          3 |         18 |        126 |
| src\server\services\forecast                                                                                                      |          2 |         29 |         10 |          5 |         44 |
| src\server\services\forecast\core                                                                                                 |          2 |         29 |         10 |          5 |         44 |
| src\server\services\forecast\core\pipeline                                                                                        |          1 |         27 |          7 |          5 |         39 |
| src\server\services\forecast\core\plausibility                                                                                    |          1 |          2 |          3 |          0 |          5 |
| src\server\services\irrigation                                                                                                    |          6 |         67 |        -18 |          7 |         56 |
| src\server\services\reporting                                                                                                     |          6 |      1,251 |          3 |        162 |      1,416 |
| src\server\services\user                                                                                                          |          1 |          1 |          4 |          0 |          5 |
| src\styles                                                                                                                        |          1 |         20 |          2 |          3 |         25 |
| testsprite_tests                                                                                                                  |         16 |     10,248 |          0 |      1,804 |     12,052 |
| testsprite_tests (Files)                                                                                                          |          2 |        881 |          0 |          2 |        883 |
| testsprite_tests\tmp                                                                                                              |         14 |      9,367 |          0 |      1,802 |     11,169 |
| testsprite_tests\tmp (Files)                                                                                                      |          3 |      4,540 |          0 |          4 |      4,544 |
| testsprite_tests\tmp\prd_files                                                                                                    |         11 |      4,827 |          0 |      1,798 |      6,625 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                          | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\dell\Documents\AqwaValley\.github\workflows\dispatch-emails-cron.yml                                                     | YAML           |        -29 |        -12 |         -8 |        -49 |
| c:\Users\dell\Documents\AqwaValley\.github\workflows\sync-qstash-cron.yml                                                         | YAML           |         43 |          0 |         11 |         54 |
| c:\Users\dell\Documents\AqwaValley\.reports\reports\b88835cc-b34e-4143-aacb-0e2145b41763\b88835cc-b34e-4143-aacb-0e2145b41763.csv | CSV            |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\AqwaValley\IMPLEMENTATION_COMPLETE.md                                                                     | Markdown       |        217 |          0 |         72 |        289 |
| c:\Users\dell\Documents\AqwaValley\PHASE1_TEST_SUMMARY.md                                                                         | Markdown       |        206 |          0 |         74 |        280 |
| c:\Users\dell\Documents\AqwaValley\README.md                                                                                      | Markdown       |         12 |          0 |          8 |         20 |
| c:\Users\dell\Documents\AqwaValley\START_HERE.md                                                                                  | Markdown       |        219 |          0 |        103 |        322 |
| c:\Users\dell\Documents\AqwaValley\TESTING_IMPLEMENTATION_ROADMAP.md                                                              | Markdown       |        240 |          0 |         72 |        312 |
| c:\Users\dell\Documents\AqwaValley\TEST_EXECUTION_GUIDE.md                                                                        | Markdown       |        206 |          0 |         58 |        264 |
| c:\Users\dell\Documents\AqwaValley\__checks__\PATTERNS.md                                                                         | Markdown       |        360 |          0 |         98 |        458 |
| c:\Users\dell\Documents\AqwaValley\__checks__\QUICKSTART.md                                                                       | Markdown       |        201 |          0 |         66 |        267 |
| c:\Users\dell\Documents\AqwaValley\__checks__\README.md                                                                           | Markdown       |        375 |          0 |        111 |        486 |
| c:\Users\dell\Documents\AqwaValley\__checks__\api.check.ts                                                                        | TypeScript     |          0 |         15 |          1 |         16 |
| c:\Users\dell\Documents\AqwaValley\__checks__\heartbeat.check.ts                                                                  | TypeScript     |          9 |         18 |          0 |         27 |
| c:\Users\dell\Documents\AqwaValley\__checks__\homepage.spec.ts                                                                    | TypeScript     |         29 |         17 |          9 |         55 |
| c:\Users\dell\Documents\AqwaValley\__checks__\login.spec.ts                                                                       | TypeScript     |        105 |         41 |         29 |        175 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\api-check.ts                                                                | TypeScript     |        119 |         44 |         21 |        184 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\assertions.ts                                                               | TypeScript     |         80 |         26 |         17 |        123 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\base-page.ts                                                                | TypeScript     |         56 |         58 |         14 |        128 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\env.ts                                                                      | TypeScript     |         11 |          0 |          2 |         13 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\index.ts                                                                    | TypeScript     |         14 |          0 |          1 |         15 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\login-page.ts                                                               | TypeScript     |         71 |         32 |         18 |        121 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\login-scenario.ts                                                           | TypeScript     |         49 |          0 |         10 |         59 |
| c:\Users\dell\Documents\AqwaValley\__checks__\support\test-data.ts                                                                | TypeScript     |        132 |         33 |         30 |        195 |
| c:\Users\dell\Documents\AqwaValley\__checks__\url.check.ts                                                                        | TypeScript     |         11 |         19 |          1 |         31 |
| c:\Users\dell\Documents\AqwaValley\docs\report-generation-endpoints-api-contract.md                                               | Markdown       |        362 |          0 |        126 |        488 |
| c:\Users\dell\Documents\AqwaValley\docs\report-generation-export-engine-world-class-plan.md                                       | Markdown       |        478 |          0 |        192 |        670 |
| c:\Users\dell\Documents\AqwaValley\docs\testing-strategy-world-class-plan.md                                                      | Markdown       |        732 |          0 |        286 |      1,018 |
| c:\Users\dell\Documents\AqwaValley\docs\users-management-api-world-class-prd-and-implementation-plan.md                           | Markdown       |        488 |          0 |        205 |        693 |
| c:\Users\dell\Documents\AqwaValley\drizzle\0011_irrigation_session.sql                                                            | MS SQL         |         15 |          1 |          1 |         17 |
| c:\Users\dell\Documents\AqwaValley\drizzle\0011_reporting_engine_foundation.sql                                                   | MS SQL         |        103 |          0 |         10 |        113 |
| c:\Users\dell\Documents\AqwaValley\drizzle\0012_melted_marten_broadcloak.sql                                                      | MS SQL         |        195 |         18 |          0 |        213 |
| c:\Users\dell\Documents\AqwaValley\drizzle\meta\0012_snapshot.json                                                                | JSON           |      6,797 |          0 |          0 |      6,797 |
| c:\Users\dell\Documents\AqwaValley\drizzle\meta\_journal.json                                                                     | JSON           |         21 |          0 |         -1 |         20 |
| c:\Users\dell\Documents\AqwaValley\next.config.js                                                                                 | JavaScript     |          7 |         -3 |          0 |          4 |
| c:\Users\dell\Documents\AqwaValley\package-lock.json                                                                              | JSON           |      7,114 |          0 |          0 |      7,114 |
| c:\Users\dell\Documents\AqwaValley\package.json                                                                                   | JSON           |        -95 |          0 |          0 |        -95 |
| c:\Users\dell\Documents\AqwaValley\pnpm-lock.yaml                                                                                 | YAML           |        977 |          0 |        276 |      1,253 |
| c:\Users\dell\Documents\AqwaValley\scripts\backfill-quotas.ts                                                                     | TypeScript     |         70 |          3 |         12 |         85 |
| c:\Users\dell\Documents\AqwaValley\scripts\inspect-crops-db.ts                                                                    | TypeScript     |         47 |          2 |          9 |         58 |
| c:\Users\dell\Documents\AqwaValley\scripts\localize_crops.ts                                                                      | TypeScript     |         61 |          3 |         11 |         75 |
| c:\Users\dell\Documents\AqwaValley\scripts\qstash-cron.config.ts                                                                  | TypeScript     |         21 |          0 |          2 |         23 |
| c:\Users\dell\Documents\AqwaValley\scripts\sync-qstash-cron.ts                                                                    | TypeScript     |        240 |          5 |         43 |        288 |
| c:\Users\dell\Documents\AqwaValley\scripts\test-reporting-integration.ts                                                          | TypeScript     |        178 |          1 |         35 |        214 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\auth\role-scope-enforcement.test.ts                                              | TypeScript     |        274 |         88 |         65 |        427 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\fao56\fao56-et0-calculation.test.ts                                              | TypeScript     |        141 |        103 |         43 |        287 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\ingest\duplicate-reading-idempotency.test.ts                                     | TypeScript     |        179 |         56 |         45 |        280 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\ingest\ingest-authorization-scope.test.ts                                        | TypeScript     |        262 |         50 |         45 |        357 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\services\ingest-orchestration.test.ts                                | TypeScript     |        135 |          0 |         35 |        170 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\integration\services\quota-decision.test.ts                                      | TypeScript     |        152 |          0 |         23 |        175 |
| c:\Users\dell\Documents\AqwaValley\src\__tests__\quota\quota-hard-block-boundary.test.ts                                          | TypeScript     |        164 |         34 |         34 |        232 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\_components\AiNeuralPulse.tsx                                      | TypeScript JSX |         58 |          5 |         13 |         76 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\_components\AiPlanClient.tsx                                       | TypeScript JSX |        617 |         39 |         67 |        723 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\_components\PlanHistorySection.tsx                                 | TypeScript JSX |        133 |          0 |         15 |        148 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\loading.tsx                                                        | TypeScript JSX |         10 |          1 |          2 |         13 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\ai-plan\page.tsx                                                           | TypeScript JSX |       -158 |          0 |        -12 |       -170 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\_components\crop-history-table.tsx                                   | TypeScript JSX |         90 |          0 |          5 |         95 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\_components\crop-profile-form.tsx                                    | TypeScript JSX |        211 |          6 |         21 |        238 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\_components\water-req-card.tsx                                       | TypeScript JSX |         93 |          0 |          5 |         98 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\loading.tsx                                                          | TypeScript JSX |         13 |          0 |          1 |         14 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\crops\page.tsx                                                             | TypeScript JSX |         66 |          3 |          9 |         78 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\_components\history-chart.tsx                                      | TypeScript JSX |        116 |          0 |          8 |        124 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\_components\irrigation-history-table.tsx                           | TypeScript JSX |        194 |          2 |          7 |        203 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\loading.tsx                                                        | TypeScript JSX |         66 |          3 |          3 |         72 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\history\page.tsx                                                           | TypeScript JSX |        111 |          8 |         14 |        133 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\irrigate\_components\IrrigateClient.tsx                                    | TypeScript JSX |        521 |         30 |         58 |        609 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\irrigate\loading.tsx                                                       | TypeScript JSX |         41 |          3 |          3 |         47 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\irrigate\page.tsx                                                          | TypeScript JSX |         59 |          0 |          8 |         67 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\quota\_components\quota-history-table.tsx                                  | TypeScript JSX |         98 |          1 |          8 |        107 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\quota\_components\quota-kpis.tsx                                           | TypeScript JSX |         97 |          0 |          5 |        102 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\quota\_components\quota-usage-chart.tsx                                    | TypeScript JSX |        150 |          3 |         13 |        166 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\quota\loading.tsx                                                          | TypeScript JSX |         91 |          6 |          5 |        102 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\quota\page.tsx                                                             | TypeScript JSX |        123 |          9 |         14 |        146 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\soil\_components\refresh-button.tsx                                        | TypeScript JSX |         22 |          0 |          3 |         25 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\soil\_components\soil-composition-card.tsx                                 | TypeScript JSX |         43 |          0 |          5 |         48 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\soil\_components\soil-gauge.tsx                                            | TypeScript JSX |         69 |          0 |          7 |         76 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\soil\_components\soil-moisture-chart.tsx                                   | TypeScript JSX |         94 |          0 |          3 |         97 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\farm\soil\page.tsx                                                              | TypeScript JSX |        170 |          8 |         20 |        198 |
| c:\Users\dell\Documents\AqwaValley\src\app\(farm)\layout.tsx                                                                      | TypeScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\AqwaValley\src\app\(gov)\distribution\_components\ConsumerTypeChart.tsx                                   | TypeScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\dell\Documents\AqwaValley\src\app\_actions\crops.ts                                                                      | TypeScript     |         81 |          4 |         12 |         97 |
| c:\Users\dell\Documents\AqwaValley\src\app\_components\AssistLoopLoader.tsx                                                       | TypeScript JSX |        -16 |         -1 |         -1 |        -18 |
| c:\Users\dell\Documents\AqwaValley\src\app\_components\NavigationProgressBar.tsx                                                  | TypeScript JSX |         19 |          2 |          2 |         23 |
| c:\Users\dell\Documents\AqwaValley\src\app\_components\PageTransition.tsx                                                         | TypeScript JSX |         19 |          1 |          3 |         23 |
| c:\Users\dell\Documents\AqwaValley\src\app\_components\auth\LoginForm.tsx                                                         | TypeScript JSX |         10 |          0 |          0 |         10 |
| c:\Users\dell\Documents\AqwaValley\src\app\_components\layouts\Navitem.tsx                                                        | TypeScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dell\Documents\AqwaValley\src\app\_components\layouts\Topbar.tsx                                                         | TypeScript JSX |          2 |          0 |          0 |          2 |
| c:\Users\dell\Documents\AqwaValley\src\app\api\cron\dispatch-emails\route.ts                                                      | TypeScript     |          3 |         -1 |         -1 |          1 |
| c:\Users\dell\Documents\AqwaValley\src\app\api\cron\process-irrigation-queue\route.ts                                             | TypeScript     |          4 |          0 |          1 |          5 |
| c:\Users\dell\Documents\AqwaValley\src\app\api\cron\process-report-jobs\route.ts                                                  | TypeScript     |         64 |          0 |         13 |         77 |
| c:\Users\dell\Documents\AqwaValley\src\app\api\cron\simulate-ingest\route.ts                                                      | TypeScript     |          4 |          0 |          1 |          5 |
| c:\Users\dell\Documents\AqwaValley\src\app\api\reports\download\[artifactId]\route.ts                                             | TypeScript     |        101 |          0 |         19 |        120 |
| c:\Users\dell\Documents\AqwaValley\src\app\layout.tsx                                                                             | TypeScript JSX |          5 |          0 |          0 |          5 |
| c:\Users\dell\Documents\AqwaValley\src\app\sentry-example-page\page.tsx                                                           | TypeScript JSX |          2 |          1 |          0 |          3 |
| c:\Users\dell\Documents\AqwaValley\src\app\set-password\page.tsx                                                                  | TypeScript JSX |          0 |         -1 |         -1 |         -2 |
| c:\Users\dell\Documents\AqwaValley\src\env.js                                                                                     | JavaScript     |         14 |          0 |          0 |         14 |
| c:\Users\dell\Documents\AqwaValley\src\lib\cronAuth.ts                                                                            | TypeScript     |         11 |          0 |         -1 |         10 |
| c:\Users\dell\Documents\AqwaValley\src\lib\hooks.ts                                                                               | TypeScript     |          0 |          0 |          1 |          1 |
| c:\Users\dell\Documents\AqwaValley\src\lib\use-count-up.ts                                                                        | TypeScript     |         26 |          0 |          9 |         35 |
| c:\Users\dell\Documents\AqwaValley\src\server\api\root.ts                                                                         | TypeScript     |          2 |          0 |          0 |          2 |
| c:\Users\dell\Documents\AqwaValley\src\server\api\routers\irrigation.ts                                                           | TypeScript     |        160 |         15 |         26 |        201 |
| c:\Users\dell\Documents\AqwaValley\src\server\api\routers\reports.ts                                                              | TypeScript     |        204 |          0 |         29 |        233 |
| c:\Users\dell\Documents\AqwaValley\src\server\api\routers\users.ts                                                                | TypeScript     |          0 |          2 |          0 |          2 |
| c:\Users\dell\Documents\AqwaValley\src\server\api\routers\weather.ts                                                              | TypeScript     |         41 |          2 |          6 |         49 |
